tau,mag
-39.950879901759805,1.0607461363951691
-39.950719901439804,1.0607468443529813
-39.9505599011198,1.0607475521859697
-39.9503999007998,1.0607482601853895
-39.9502399004798,1.060748968320035
-39.9500799001598,1.0607496760594057
-39.9499198998398,1.0607503840900316
-39.949759899519805,1.0607510921206573
-39.9495998991998,1.0607518000576655
-39.949439898879795,1.0607525081298992
-39.949279898559794,1.0607532160044955
-39.9491198982398,1.0607539241703468
-39.94895989791979,1.0607546324818258
-39.94879989759979,1.0607553404708436
-39.9486398972798,1.0607560483870477
-39.948479896959796,1.0607567562408402
-39.948319896639795,1.0607574644170934
-39.948159896319794,1.0607581722812878
-39.94799989599979,1.0607588806135706
-39.94783989567979,1.0607595888730397
-39.94767989535979,1.0607602969348715
-39.94751989503979,1.0607610051735366
-39.94735989471979,1.0607617132353682
-39.94719989439979,1.0607624214012197
-39.94703989407979,1.060763129546267
-39.946879893759785,1.060763837836942
-39.946719893439784,1.0607645459299795
-39.94655989311978,1.0607652542726644
-39.94639989279979,1.0607659622096726
-39.94623989247978,1.0607666705835632
-39.94607989215978,1.0607673787286105
-39.945919891839786,1.0607680869464717
-39.945759891519785,1.0607687952371467
-39.945599891199784,1.060769503371792
-39.94543989087978,1.0607702116104574
-39.94527989055978,1.0607709198699264
-39.94511989023978,1.060771628223013
-39.94495988991978,1.0607723366281097
-39.94479988959978,1.060773044804363
-39.94463988927978,1.060773753084636
-39.944479888959776,1.0607744614377228
-39.94431988863978,1.0607751698532213
-39.944159888319774,1.0607758781230923
-39.94399988799977,1.0607765866218066
-39.94383988767978,1.06077729474605
-39.94367988735978,1.060778003359186
-39.94351988703977,1.0607787117018708
-39.94335988671977,1.0607794200965655
-39.943199886399775,1.0607801282104068
-39.943039886079774,1.0607808368339449
-39.94287988575977,1.0607815452806493
-39.94271988543977,1.0607822536649418
-39.94255988511977,1.0607829621636562
-39.94239988479977,1.0607836702983016
-39.94223988447977,1.060784379067467
-39.94207988415977,1.0607850875453773
-39.941919883839766,1.0607857958984641
-39.941759883519765,1.0607865043555704
-39.94159988319977,1.0607872129999123
-39.94143988287976,1.0607879215402345
-39.94127988255976,1.0607886298621152
-39.94111988223977,1.060789338516859
-39.94095988191977,1.0607900468179359
-39.94079988159976,1.0607907553270521
-39.940639881279765,1.0607914642002372
-39.940479880959764,1.0607921727717653
-39.94031988063976,1.0607928812912835
-39.94015988031976,1.0607935898420076
-39.93999987999976,1.0607942983303198
-39.93983987967976,1.0607950069850636
-39.93967987935976,1.0607957155981995
-39.93951987903976,1.060796424325757
-39.939359878719756,1.060797132918089
-39.939199878399755,1.0607978414168033
-39.939039878079754,1.060798550050743
-39.93887987775976,1.0607992589447321
-39.93871987743975,1.060799967277015
-39.93855987711975,1.0608006762438178
-39.93839987679976,1.0608013848777575
-39.938239876479756,1.06080209389657
-39.93807987615975,1.0608028026345295
-39.937919875839754,1.0608035109460086
-39.93775987551975,1.0608042197359777
-39.93759987519975,1.0608049287651924
-39.93743987487975,1.0608056373991321
-39.93727987455975,1.0608063461058859
-39.93711987423975,1.0608070547710315
-39.93695987391975,1.0608077637170303
-39.936799873599746,1.06080847240298
-39.936639873279745,1.0608091811617435
-39.936479872959744,1.0608098900141245
-39.93631987263975,1.0608105988561036
-39.93615987231975,1.0608113077188868
-39.93599987199974,1.0608120166024737
-39.93583987167974,1.060812725475659
